19311 0.0  ASP --> ing
12772 0.0  AUX --> do
7360 0.0  AUX --> did
4590 0.0  AUX --> 's
3630 0.0  AUX --> are
3544 0.0  AUX --> 're
2794 0.0  AUX --> does
2121 0.0  AUX --> is
1865 0.0  AUX --> have
1095 0.0  AUX --> 'm
805 0.0  AUX --> was
662 0.0  AUX --> were
609 0.0  AUX --> 've
496 0.0  AUX --> 'd
317 0.0  AUX --> be
284 0.0  AUX --> has
155 0.0  AUX --> am
146 0.0  AUX --> had
140 0.0  AUX --> been
71 0.0  AUX --> need
37 0.0  AUX --> get
33 0.0  AUX --> got
15 0.0  AUX --> du
14 0.0  AUX --> d'
12 0.0  AUX --> ai
10 0.0  AUX --> done
9 0.0  AUX --> d
9 0.0  AUX --> of
7 0.0  AUX --> a
5 0.0  AUX --> ch
4 0.0  AUX --> 'll
4 0.0  AUX --> r
3 0.0  AUX --> da
3 0.0  AUX --> gon
2 0.0  AUX --> m
1 0.0  AUX --> dun
1 0.0  AUX --> not
1 0.0  AUX --> se
1 0.0  AUX --> t
1 0.0  AUX --> to
10114 0.0  CC --> and
1521 0.0  CC --> but
1339 0.0  CC --> or
379 0.0  CC --> so
9 0.0  CC --> either
8 0.0  CC --> plus
5 0.0  CC --> though
4 0.0  CC --> an
4 0.0  CC --> cause
3 0.0  CC --> then
2 0.0  CC --> although
2 0.0  CC --> both
2 0.0  CC --> except
2 0.0  CC --> otherwise
1 0.0  CC --> a
1 0.0  CC --> because
1 0.0  CC --> for
1 0.0  CC --> instead
1 0.0  CC --> neither
1 0.0  CC --> nor
1 0.0  CC --> unless
1 0.0  CC --> yet
1404 0.0  CD --> one
1258 0.0  CD --> two
465 0.0  CD --> three
279 0.0  CD --> four
242 0.0  CD --> five
144 0.0  CD --> six
116 0.0  CD --> ten
113 0.0  CD --> seven
101 0.0  CD --> eight
96 0.0  CD --> nine
89 0.0  CD --> thirty
89 0.0  CD --> twenty
47 0.0  CD --> eleven
31 0.0  CD --> twelve
22 0.0  CD --> hundred
20 0.0  CD --> nineteen
18 0.0  CD --> fifteen
18 0.0  CD --> forty
16 0.0  CD --> eighty
15 0.0  CD --> fifty
14 0.0  CD --> thousand
13 0.0  CD --> half
12 0.0  CD --> ninety
12 0.0  CD --> thirteen
11 0.0  CD --> seventy
10 0.0  CD --> fourteen
9 0.0  CD --> sixty
8 0.0  CD --> eighteen
8 0.0  CD --> fourth
7 0.0  CD --> dozen
7 0.0  CD --> zero
6 0.0  CD --> seventeen
6 0.0  CD --> sixteen
5 0.0  CD --> million
4 0.0  CD --> fortyfive
3 0.0  CD --> fifteenth
3 0.0  CD --> fifth
3 0.0  CD --> first
2 0.0  CD --> ninety-seven
2 0.0  CD --> tenth
2 0.0  CD --> third
1 0.0  CD --> 13
1 0.0  CD --> 16
1 0.0  CD --> 17
1 0.0  CD --> 8
1 0.0  CD --> 9
1 0.0  CD --> billion
1 0.0  CD --> eighteenth
1 0.0  CD --> eleventh
1 0.0  CD --> fiftythree
1 0.0  CD --> nineteenth
1 0.0  CD --> ninetwenty
1 0.0  CD --> ninetwentyfive
1 0.0  CD --> ninth
1 0.0  CD --> oh
1 0.0  CD --> ohfive
1 0.0  CD --> ol
1 0.0  CD --> onethirtyfive
1 0.0  CD --> second
1 0.0  CD --> seventh
1 0.0  CD --> sl
1 0.0  CD --> tenofive
1 0.0  CD --> tenthirtyfive
1 0.0  CD --> thirteenth
1 0.0  CD --> thirtythree
1 0.0  CD --> triple
1 0.0  CD --> twelvethirtyfive
1 0.0  CD --> twentieth
1 0.0  CD --> twos
1355 0.0  COMP --> if
1042 0.0  COMP --> because
436 0.0  COMP --> that
330 0.0  COMP --> so
147 0.0  COMP --> like
129 0.0  COMP --> while
125 0.0  COMP --> before
102 0.0  COMP --> after
89 0.0  COMP --> until
80 0.0  COMP --> for
70 0.0  COMP --> cause
63 0.0  COMP --> as
35 0.0  COMP --> than
34 0.0  COMP --> whether
33 0.0  COMP --> since
25 0.0  COMP --> untill
20 0.0  COMP --> till
20 0.0  COMP --> unless
16 0.0  COMP --> except
14 0.0  COMP --> 'll
13 0.0  COMP --> once
10 0.0  COMP --> though
6 0.0  COMP --> long
3 0.0  COMP --> although
3 0.0  COMP --> instead
3 0.0  COMP --> til
3 0.0  COMP --> with
2 0.0  COMP --> about
2 0.0  COMP --> besides
2 0.0  COMP --> but
2 0.0  COMP --> of
2 0.0  COMP --> soon
1 0.0  COMP --> [be]cause
1 0.0  COMP --> by
1 0.0  COMP --> cuz
1 0.0  COMP --> even
1 0.0  COMP --> from
1 0.0  COMP --> just
1 0.0  COMP --> other
1 0.0  COMP --> so_that
1 0.0  COMP --> then
1 0.0  COMP --> well
1 0.0  COMP --> when
1 0.0  COMP --> without
19917 0.0  COP --> 's
9612 0.0  COP --> is
3561 0.0  COP --> are
2373 0.0  COP --> was
2334 0.0  COP --> 're
2010 0.0  COP --> be
723 0.0  COP --> were
714 0.0  COP --> 'm
120 0.0  COP --> been
103 0.0  COP --> am
42 0.0  COP --> have
11 0.0  COP --> ai
11 0.0  COP --> s
10 0.0  COP --> has
7 0.0  COP --> had
4 0.0  COP --> need
4 0.0  COP --> r
3 0.0  COP --> 've
2 0.0  COP --> 0are
1 0.0  COP --> 'd
1 0.0  COP --> 0is
1 0.0  COP --> as
1 0.0  COP --> because
1 0.0  COP --> se
1 0.0  COP --> this
14677 0.0  DIV --> s
26615 0.0  DT --> the
18437 0.0  DT --> a
3069 0.0  DT --> that
2694 0.0  DT --> this
2003 0.0  DT --> some
1306 0.0  DT --> all
953 0.0  DT --> an
747 0.0  DT --> another
718 0.0  DT --> any
593 0.0  DT --> those
524 0.0  DT --> no
511 0.0  DT --> these
126 0.0  DT --> every
110 0.0  DT --> both
73 0.0  DT --> each
66 0.0  DT --> there
40 0.0  DT --> such
19 0.0  DT --> here
15 0.0  DT --> either
9 0.0  DT --> de
6 0.0  DT --> them
5 0.0  DT --> none
5 0.0  DT --> one
4 0.0  DT --> neither
3 0.0  DT --> dat
3 0.0  DT --> dis
3 0.0  DT --> other
2 0.0  DT --> 'll
2 0.0  DT --> and
2 0.0  DT --> anymore
2 0.0  DT --> dose
2 0.0  DT --> good
2 0.0  DT --> half
2 0.0  DT --> ta
2 0.0  DT --> which
1 0.0  DT --> 0a
1 0.0  DT --> ail
1 0.0  DT --> anonother
1 0.0  DT --> da
1 0.0  DT --> enough
1 0.0  DT --> few
1 0.0  DT --> four
1 0.0  DT --> her
1 0.0  DT --> s'
