10602 0.0  ADJP --> JJ
2941 0.0  ADJP --> RB JJ
569 0.0  ADJP --> JJ PP
350 0.0  ADJP --> JJR
326 0.0  ADJP --> JJ S
239 0.0  ADJP --> JJ SBAR
185 0.0  ADJP --> WRB JJ
118 0.0  ADJP --> ADJP PP
118 0.0  ADJP --> JJ CC JJ
118 0.0  ADJP --> JJ JJ
101 0.0  ADJP --> RB JJ PP
72 0.0  ADJP --> ADVP JJ
64 0.0  ADJP --> RB RB JJ
60 0.0  ADJP --> RB
59 0.0  ADJP --> ADJP CC ADJP
56 0.0  ADJP --> ADJP SBAR
55 0.0  ADJP --> RB JJR
52 0.0  ADJP --> NP JJR
51 0.0  ADJP --> ADJP S
51 0.0  ADJP --> NP JJ
47 0.0  ADJP --> JJR PP
45 0.0  ADJP --> JJ RB
42 0.0  ADJP --> RB JJ S
41 0.0  ADJP --> DT JJ
25 0.0  ADJP --> JJ VBG
20 0.0  ADJP --> RBR JJ
19 0.0  ADJP --> VBN
16 0.0  ADJP --> JJ ADVP
15 0.0  ADJP --> JJ NP
15 0.0  ADJP --> NOT JJ
14 0.0  ADJP --> RB JJ SBAR
13 0.0  ADJP --> DT JJ JJR
13 0.0  ADJP --> JJ NN
13 0.0  ADJP --> NN IN
13 0.0  ADJP --> VBG
11 0.0  ADJP --> JJ JJ JJ
10 0.0  ADJP --> NOT RB JJ
10 0.0  ADJP --> RB RB
9 0.0  ADJP --> NP RB JJ
8 0.0  ADJP --> ADJP JJ
8 0.0  ADJP --> JJS
7 0.0  ADJP --> JJ RB S
7 0.0  ADJP --> RB ADJP CC ADJP
7 0.0  ADJP --> RBR
6 0.0  ADJP --> ADVP JJR
6 0.0  ADJP --> ADVP RB JJ
6 0.0  ADJP --> JJ CC JJ CC JJ
6 0.0  ADJP --> JJR CC JJR
6 0.0  ADJP --> NN JJ
6 0.0  ADJP --> NP ADJP
6 0.0  ADJP --> RB JJ RB
5 0.0  ADJP --> ADVP JJ PP
5 0.0  ADJP --> CD NN
5 0.0  ADJP --> DT JJ JJ
5 0.0  ADJP --> DT NN JJR
5 0.0  ADJP --> JJ IN
5 0.0  ADJP --> JJR S
5 0.0  ADJP --> RB DT JJ
5 0.0  ADJP --> RB NP JJ
5 0.0  ADJP --> RB PP
5 0.0  ADJP --> VB NN
4 0.0  ADJP --> DT JJR
4 0.0  ADJP --> DT RB JJ
4 0.0  ADJP --> JJ JJR
4 0.0  ADJP --> JJ NNP
4 0.0  ADJP --> JJ VP
4 0.0  ADJP --> JJR JJ
4 0.0  ADJP --> JJR SBAR
4 0.0  ADJP --> NN PP
4 0.0  ADJP --> RB S
4 0.0  ADJP --> RBS JJ
4 0.0  ADJP --> WRB JJ JJR
3 0.0  ADJP --> ADVP JJ CC JJ
3 0.0  ADJP --> ADVP JJR PP
3 0.0  ADJP --> ADVP RB JJ PP
3 0.0  ADJP --> CD JJR
3 0.0  ADJP --> DT JJS
3 0.0  ADJP --> NNP JJ
3 0.0  ADJP --> RB JJ CC JJ
3 0.0  ADJP --> RB JJ JJ
3 0.0  ADJP --> RB JJ NP
3 0.0  ADJP --> RB JJR PP
3 0.0  ADJP --> RB RB RB JJ
3 0.0  ADJP --> RB RBR
3 0.0  ADJP --> RB VBN
3 0.0  ADJP --> RB VBN PP
