14012 0.0  ASP --> ing
10305 0.0  AUX --> do
6545 0.0  AUX --> did
3605 0.0  AUX --> 's
2748 0.0  AUX --> are
2526 0.0  AUX --> does
2315 0.0  AUX --> 're
1809 0.0  AUX --> is
1519 0.0  AUX --> have
590 0.0  AUX --> was
528 0.0  AUX --> 'm
520 0.0  AUX --> were
496 0.0  AUX --> 've
447 0.0  AUX --> 'd
189 0.0  AUX --> be
132 0.0  AUX --> has
122 0.0  AUX --> am
120 0.0  AUX --> been
57 0.0  AUX --> need
51 0.0  AUX --> had
24 0.0  AUX --> get
19 0.0  AUX --> got
9 0.0  AUX --> done
6 0.0  AUX --> ai
5 0.0  AUX --> of
4 0.0  AUX --> a
3 0.0  AUX --> 'll
3 0.0  AUX --> d'
2 0.0  AUX --> gon
1 0.0  AUX --> not
1 0.0  AUX --> to
7500 0.0  CC --> and
1079 0.0  CC --> but
1059 0.0  CC --> or
237 0.0  CC --> so
6 0.0  CC --> plus
5 0.0  CC --> either
3 0.0  CC --> an
3 0.0  CC --> though
2 0.0  CC --> although
2 0.0  CC --> cause
2 0.0  CC --> then
1 0.0  CC --> because
1 0.0  CC --> both
1 0.0  CC --> except
1 0.0  CC --> for
1 0.0  CC --> neither
1 0.0  CC --> nor
1 0.0  CC --> otherwise
1 0.0  CC --> unless
1 0.0  CC --> yet
1066 0.0  CD --> one
986 0.0  CD --> two
347 0.0  CD --> three
198 0.0  CD --> four
164 0.0  CD --> five
95 0.0  CD --> six
77 0.0  CD --> ten
72 0.0  CD --> seven
66 0.0  CD --> eight
59 0.0  CD --> nine
59 0.0  CD --> thirty
56 0.0  CD --> twenty
23 0.0  CD --> eleven
21 0.0  CD --> twelve
14 0.0  CD --> hundred
13 0.0  CD --> half
12 0.0  CD --> eighty
12 0.0  CD --> fifteen
12 0.0  CD --> forty
12 0.0  CD --> nineteen
11 0.0  CD --> fifty
10 0.0  CD --> thousand
9 0.0  CD --> seventy
8 0.0  CD --> ninety
8 0.0  CD --> sixty
8 0.0  CD --> thirteen
7 0.0  CD --> dozen
7 0.0  CD --> fourteen
6 0.0  CD --> fourth
5 0.0  CD --> zero
4 0.0  CD --> seventeen
3 0.0  CD --> eighteen
3 0.0  CD --> fifth
3 0.0  CD --> million
2 0.0  CD --> fifteenth
2 0.0  CD --> tenth
1 0.0  CD --> eighteenth
1 0.0  CD --> nineteenth
1 0.0  CD --> ninety-seven
1 0.0  CD --> ninth
1 0.0  CD --> oh
1 0.0  CD --> second
1 0.0  CD --> seventh
1 0.0  CD --> sixteen
1 0.0  CD --> third
1 0.0  CD --> triple
1 0.0  CD --> twos
926 0.0  COMP --> if
692 0.0  COMP --> because
295 0.0  COMP --> that
188 0.0  COMP --> so
111 0.0  COMP --> like
91 0.0  COMP --> before
84 0.0  COMP --> while
72 0.0  COMP --> after
67 0.0  COMP --> for
57 0.0  COMP --> until
46 0.0  COMP --> as
42 0.0  COMP --> cause
30 0.0  COMP --> than
28 0.0  COMP --> whether
25 0.0  COMP --> since
17 0.0  COMP --> untill
12 0.0  COMP --> unless
11 0.0  COMP --> till
8 0.0  COMP --> except
6 0.0  COMP --> once
5 0.0  COMP --> though
4 0.0  COMP --> long
3 0.0  COMP --> instead
3 0.0  COMP --> with
2 0.0  COMP --> but
2 0.0  COMP --> til
1 0.0  COMP --> about
1 0.0  COMP --> although
1 0.0  COMP --> besides
1 0.0  COMP --> from
1 0.0  COMP --> just
1 0.0  COMP --> of
