rule,results_min5_iters74.txt,results_min5_iters500.txt
ADJP --> ADJP CC ADJP,3.44857e-09,3.45181e-09
ADJP --> ADJP JJ,0.00123736,0.00125561
ADJP --> ADJP PP,3.43861e-09,3.44121e-09
ADJP --> ADJP S,3.4416e-09,3.44436e-09
ADJP --> ADJP SBAR,3.44069e-09,3.44335e-09
ADJP --> ADVP JJ,3.44021e-09,3.44276e-09
ADJP --> ADVP JJR,3.43927e-09,3.44179e-09
ADJP --> ADVP RB JJ,3.43885e-09,3.44127e-09
ADJP --> CD NN,0.00132513,0.00132448
ADJP --> DT JJ,0.0279652,0.0281334
ADJP --> DT JJ JJ,0.00757089,0.00755459
ADJP --> DT JJ JJR,0.000738935,0.000729049
ADJP --> JJ ADVP,0.0633364,0.06373
ADJP --> JJ CC JJ,0.0104982,0.0104787
ADJP --> JJ CC JJ CC JJ,0.000325164,0.000323458
ADJP --> JJ JJ,0.0243659,0.0243276
ADJP --> JJ JJ JJ,0.000809039,0.000787725
ADJP --> JJ NN,0.0329148,0.0333191
ADJP --> JJ NP,0.0255387,0.0260127
ADJP --> JJ PP,0.102754,0.103111
ADJP --> JJ RB,0.0673666,0.0670761
ADJP --> JJ S,0.141542,0.140953
ADJP --> JJ SBAR,0.00444309,0.004438
ADJP --> JJ VBG,3.43478e-09,3.43729e-09
ADJP --> JJR CC JJR,0.000626307,0.000626916
ADJP --> JJR PP,0.00245968,0.00244011
ADJP --> NN IN,0.137304,0.136753
ADJP --> NN JJ,3.43855e-09,3.44109e-09
ADJP --> NOT JJ,3.43762e-09,3.44022e-09
ADJP --> NOT RB JJ,3.43974e-09,3.44229e-09
ADJP --> NP ADJP,3.44099e-09,3.4435e-09
ADJP --> NP JJ,3.43983e-09,3.44231e-09
ADJP --> NP JJR,0.00360385,0.00361273
ADJP --> NP RB JJ,3.43773e-09,3.44023e-09
ADJP --> RB DT JJ,0.00266885,0.00262141
ADJP --> RB JJ,0.129387,0.129176
ADJP --> RB JJ PP,0.0132904,0.013238
ADJP --> RB JJ RB,0.00629797,0.00649298
ADJP --> RB JJ S,0.00829922,0.00846102
ADJP --> RB JJ SBAR,0.000988409,0.00101436
